FIPStxt,Stabr,area_name,Metro_2013, Civilian_labor_force_2000 , Employed_2000 , Unemployed_2000 ,Unemployment_rate_2000, Civilian_labor_force_2001 , Employed_2001 , Unemployed_2001 ,Unemployment_rate_2001, Civilian_labor_force_2002 , Employed_2002 , Unemployed_2002 ,Unemployment_rate_2002, Civilian_labor_force_2003 , Employed_2003 , Unemployed_2003 ,Unemployment_rate_2003, Civilian_labor_force_2004 , Employed_2004 , Unemployed_2004 ,Unemployment_rate_2004, Civilian_labor_force_2005 , Employed_2005 , Unemployed_2005 ,Unemployment_rate_2005, Civilian_labor_force_2006 , Employed_2006 , Unemployed_2006 ,Unemployment_rate_2006, Civilian_labor_force_2007 , Employed_2007 , Unemployed_2007 ,Unemployment_rate_2007, Civilian_labor_force_2008 , Employed_2008 , Unemployed_2008 ,Unemployment_rate_2008,Civilian_labor_force_2009,Employed_2009,Unemployed_2009,Unemployment_rate_2009, Civilian_labor_force_2010 , Employed_2010 , Unemployed_2010 ,Unemployment_rate_2010, Civilian_labor_force_2011 , Employed_2011 , Unemployed_2011 ,Unemployment_rate_2011, Civilian_labor_force_2012 , Employed_2012 , Unemployed_2012 ,Unemployment_rate_2012, Civilian_labor_force_2013 , Employed_2013 , Unemployed_2013 ,Unemployment_rate_2013, Civilian_labor_force_2014 , Employed_2014 , Unemployed_2014 ,Unemployment_rate_2014, Civilian_labor_force_2015 , Employed_2015 , Unemployed_2015 ,Unemployment_rate_2015, Civilian_labor_force_2016 , Employed_2016 , Unemployed_2016 ,Unemployment_rate_2016,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018, Civilian_labor_force_2019 , Employed_2019 , Unemployed_2019 ,Unemployment_rate_2019,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018
37000,NC,North Carolina,,"4,138,190","3,986,151","152,039",3.7,"4,198,338","3,966,798","231,540",5.5,"4,184,713","3,906,570","278,143",6.6,"4,255,631","3,984,596","271,035",6.4,"4,253,126","4,019,809","233,317",5.5,"4,317,428","4,091,039","226,389",5.2,"4,444,967","4,234,095","210,872",4.7,"4,512,856","4,300,304","212,552",4.7,"4,560,059","4,281,713","278,346",6.1,"4,570,789","4,087,105","483,684",10.6,"4,616,691","4,115,629","501,062",10.9,"4,633,072","4,157,543","475,529",10.3,"4,680,057","4,245,675","434,382",9.3,"4,692,940","4,318,114","374,826",8,"4,696,781","4,400,314","296,467",6.3,"4,770,119","4,497,906","272,213",6,"4,860,052","4,613,476","246,576",5.1,"4,936,248","4,715,754","220,494",4.5,"4,986,138","4,787,719","198,419",4,"5,080,444","4,883,875","196,569",3.9,"53,922",100
37119,NC,Charlotte,1,"397,029","385,524","11,505",2.9,"409,161","391,446","17,715",4.3,"411,447","387,468","23,979",5.8,"418,025","393,995","24,030",5.7,"416,749","395,649","21,100",5.1,"426,529","405,368","21,161",5,"445,356","425,476","19,880",4.5,"456,736","436,055","20,681",4.5,"466,991","439,235","27,756",5.9,"465,775","416,463","49,312",10.6,"502,428","448,844","53,584",10.7,"513,764","462,812","50,952",9.9,"527,788","481,623","46,165",8.7,"537,143","496,753","40,390",7.5,"547,830","514,977","32,853",6,"565,437","535,313","30,124",5,"583,478","555,878","27,600",4.7,"600,609","575,010","25,599",4.3,"611,032","587,780","23,252",3.8,"626,769","603,983","22,786",3.6,"64,509",119.6
38000,ND,North Dakota,,"342,568","332,407","10,161",3,"341,816","331,820","9,996",2.9,"340,631","327,957","12,674",3.7,"344,676","331,852","12,824",3.7,"352,466","340,403","12,063",3.4,"355,545","343,508","12,037",3.4,"361,459","349,821","11,638",3.2,"367,234","355,766","11,468",3.1,"371,025","359,333","11,692",3.2,"368,665","353,455","15,210",4.1,"378,342","364,053","14,289",3.8,"388,634","375,153","13,481",3.5,"397,867","385,674","12,193",3.1,"406,193","394,392","11,801",2.9,"413,544","402,521","11,023",2.7,"412,957","401,409","11,548",3,"412,469","399,691","12,778",3.1,"409,752","398,823","10,929",2.7,"403,583","393,199","10,384",2.6,"403,599","394,024","9,575",2.4,"65,250",100
38017,ND,Fargo,1,"75,351","73,751","1,600",2.1,"76,054","74,445","1,609",2.1,"75,982","73,836","2,146",2.8,"77,467","75,182","2,285",2.9,"80,707","78,543","2,164",2.7,"82,230","80,023","2,207",2.7,"84,220","82,058","2,162",2.6,"87,690","85,446","2,244",2.6,"88,926","86,519","2,407",2.7,"87,854","84,241","3,613",4.1,"88,824","85,680","3,144",3.5,"89,620","86,697","2,923",3.3,"89,610","86,980","2,630",2.9,"91,442","88,921","2,521",2.8,"92,639","90,401","2,238",2.4,"95,126","92,985","2,141",2,"100,165","97,926","2,239",2.2,"101,672","99,495","2,177",2.1,"101,737","99,441","2,296",2.3,"102,347","100,269","2,078",2,"63,885",97.9
39000,OH,Ohio,,"5,787,343","5,556,757","230,586",4,"5,816,832","5,567,130","249,702",4.3,"5,852,985","5,516,645","336,340",5.7,"5,872,372","5,505,858","366,514",6.2,"5,870,479","5,502,444","368,035",6.3,"5,890,046","5,541,082","348,964",5.9,"5,945,482","5,624,435","321,047",5.4,"5,990,292","5,657,718","332,574",5.6,"5,965,166","5,580,843","384,323",6.4,"5,906,768","5,297,098","609,670",10.3,"5,846,886","5,247,050","599,836",10.3,"5,771,469","5,261,238","510,231",8.8,"5,705,591","5,284,001","421,590",7.4,"5,716,730","5,290,609","426,121",7.5,"5,704,371","5,373,053","331,318",5.8,"5,699,187","5,419,361","279,826",5,"5,743,201","5,454,611","288,590",5,"5,778,729","5,491,543","287,186",5,"5,780,747","5,521,681","259,066",4.5,"5,802,318","5,563,572","238,746",4.1,"56,155",100
39049,OH,Columbus,1,"593,207","573,832","19,375",3.3,"599,424","579,080","20,344",3.4,"604,280","573,565","30,715",5.1,"602,224","569,021","33,203",5.5,"600,875","567,016","33,859",5.6,"601,304","569,067","32,237",5.4,"609,068","580,184","28,884",4.7,"622,081","592,795","29,286",4.7,"624,952","590,436","34,516",5.5,"624,988","571,996","52,992",8.5,"626,837","571,204","55,633",8.9,"627,448","578,794","48,654",7.8,"630,055","589,581","40,474",6.4,"638,834","597,678","41,156",6.4,"647,175","615,598","31,577",4.9,"655,089","628,175","26,914",4,"666,583","638,923","27,660",4.1,"682,117","654,273","27,844",4.1,"689,443","663,145","26,298",3.8,"697,639","673,069","24,570",3.5,"60,383",107.5
40000,OK,Oklahoma,,"1,660,528","1,610,099","50,429",3,"1,675,935","1,614,572","61,363",3.7,"1,686,568","1,608,106","78,462",4.7,"1,685,572","1,593,521","92,051",5.5,"1,689,608","1,607,421","82,187",4.9,"1,703,293","1,627,110","76,183",4.5,"1,715,794","1,647,098","68,696",4,"1,726,259","1,655,490","70,769",4.1,"1,746,466","1,681,081","65,385",3.7,"1,764,432","1,652,023","112,409",6.4,"1,768,284","1,648,138","120,146",6.8,"1,772,666","1,668,418","104,248",5.9,"1,803,863","1,709,258","94,605",5.2,"1,802,073","1,706,861","95,212",5.3,"1,798,260","1,717,628","80,632",4.5,"1,832,157","1,751,434","80,723",4,"1,831,712","1,743,766","87,946",4.8,"1,835,725","1,758,210","77,515",4.2,"1,840,609","1,777,564","63,045",3.4,"1,841,209","1,780,551","60,658",3.3,"51,914",100
40109,OK,Oklahoma City,1,"326,691","317,386","9,305",2.8,"330,780","317,977","12,803",3.9,"333,340","317,810","15,530",4.7,"330,607","312,633","17,974",5.4,"332,239","316,240","15,999",4.8,"333,282","317,817","15,465",4.6,"328,518","314,706","13,812",4.2,"323,354","309,044","14,310",4.4,"324,124","311,404","12,720",3.9,"325,899","305,990","19,909",6.1,"354,254","332,486","21,768",6.1,"357,336","338,450","18,886",5.3,"365,892","348,402","17,490",4.8,"368,547","350,727","17,820",4.8,"369,494","354,038","15,456",4.2,"375,202","360,407","14,795",4,"375,442","359,374","16,068",4.3,"378,349","363,326","15,023",4,"382,074","369,308","12,766",3.3,"384,731","372,632","12,099",3.1,"52,346",100.8
41000,OR,Oregon,,"1,818,559","1,725,744","92,815",5.1,"1,823,916","1,706,904","117,012",6.4,"1,835,325","1,697,237","138,088",7.5,"1,845,544","1,695,906","149,638",8.1,"1,838,112","1,703,703","134,409",7.3,"1,845,761","1,731,845","113,916",6.2,"1,885,385","1,785,044","100,341",5.3,"1,921,766","1,822,772","98,994",5.2,"1,955,121","1,827,352","127,769",6.5,"1,976,638","1,753,682","222,956",11.3,"1,984,039","1,773,076","210,963",10.6,"1,993,889","1,804,320","189,569",9.5,"1,953,439","1,780,790","172,649",8.8,"1,910,702","1,760,302","150,400",7.9,"1,936,869","1,805,524","131,345",6.8,"1,978,114","1,867,302","110,812",6,"2,047,313","1,948,757","98,556",4.8,"2,088,780","2,002,804","85,976",4.1,"2,097,202","2,012,235","84,967",4.1,"2,104,069","2,025,300","78,769",3.7,"63,168",100
41051,OR,Portland,1,"381,239","363,518","17,721",4.6,"380,121","356,323","23,798",6.3,"377,757","347,528","30,229",8,"373,523","342,005","31,518",8.4,"363,822","336,779","27,043",7.4,"360,354","338,487","21,867",6.1,"366,637","347,849","18,788",5.1,"379,156","360,681","18,475",4.9,"388,379","365,522","22,857",5.9,"393,391","351,886","41,505",10.6,"418,838","378,511","40,327",9.6,"424,717","389,294","35,423",8.3,"419,500","387,585","31,915",7.6,"411,694","383,774","27,920",6.8,"419,257","394,554","24,703",5.9,"429,636","408,570","21,066",5,"443,744","425,011","18,733",4.2,"453,416","436,974","16,442",3.6,"452,492","436,194","16,298",3.6,"455,189","440,311","14,878",3.3,"70,756",112
42000,PA,Pennsylvania,,"6,106,892","5,854,551","252,341",4.1,"6,178,617","5,881,688","296,929",4.8,"6,218,643","5,868,607","350,036",5.6,"6,170,359","5,821,711","348,648",5.7,"6,213,778","5,876,997","336,781",5.4,"6,251,402","5,940,570","310,832",5,"6,294,504","6,006,634","287,870",4.6,"6,342,997","6,064,063","278,934",4.4,"6,451,535","6,109,645","341,890",5.3,"6,400,263","5,885,351","514,912",8,"6,380,949","5,840,887","540,062",8.5,"6,395,506","5,888,745","506,761",7.9,"6,462,939","5,957,314","505,625",7.8,"6,442,411","5,967,811","474,600",7.4,"6,392,355","6,017,923","374,432",5.9,"6,413,445","6,073,961","339,484",5,"6,448,789","6,102,096","346,693",5.4,"6,426,047","6,112,981","313,066",4.9,"6,423,711","6,150,782","272,929",4.2,"6,491,640","6,207,627","284,013",4.4,"60,891",100
42101,PA,Philadelphia,1,"637,072","602,049","35,023",5.5,"637,214","598,088","39,126",6.1,"635,301","588,476","46,825",7.4,"625,101","578,304","46,797",7.5,"619,946","574,770","45,176",7.3,"617,131","575,746","41,385",6.7,"615,906","577,682","38,224",6.2,"620,518","582,727","37,791",6.1,"630,620","586,024","44,596",7.1,"652,401","588,815","63,586",9.7,"687,809","615,073","72,736",10.6,"690,937","617,219","73,718",10.7,"699,340","623,262","76,078",10.9,"698,341","626,447","71,894",10.3,"690,640","634,680","55,960",8.1,"694,732","645,414","49,318",7,"703,114","655,667","47,447",6.7,"704,948","661,229","43,719",6.2,"709,058","670,112","38,946",5.5,"722,078","682,012","40,066",5.5,"46,149",75.8
44000,RI,Rhode Island,,"543,561","521,313","22,248",4.1,"543,862","519,044","24,818",4.6,"550,256","522,832","27,424",5,"560,483","530,567","29,916",5.3,"558,688","529,893","28,795",5.2,"565,735","537,194","28,541",5,"572,601","544,357","28,244",4.9,"573,173","543,401","29,772",5.2,"570,328","525,941","44,387",7.8,"567,280","504,951","62,329",11,"566,704","503,216","63,488",11.2,"560,056","498,248","61,808",11,"558,487","500,434","58,053",10.4,"556,926","505,370","51,556",9.3,"556,579","513,753","42,826",7.7,"554,426","521,209","33,217",6,"553,177","524,493","28,684",5.2,"553,122","528,746","24,376",4.4,"554,554","532,478","22,076",4,"555,554","535,768","19,786",3.6,"63,787",100
44007,RI,Providence,1,"309,746","296,002","13,744",4.4,"310,556","294,798","15,758",5.1,"314,031","296,897","17,134",5.5,"320,539","301,684","18,855",5.9,"319,368","301,529","17,839",5.6,"323,279","305,663","17,616",5.4,"327,711","310,272","17,439",5.3,"328,144","309,733","18,411",5.6,"327,491","300,024","27,467",8.4,"326,783","288,048","38,735",11.9,"328,917","290,205","38,712",11.8,"326,158","288,279","37,879",11.6,"325,794","290,145","35,649",10.9,"324,614","292,953","31,661",9.8,"324,997","298,536","26,461",8.1,"323,908","303,363","20,545",6,"323,192","305,351","17,841",5.5,"323,972","308,660","15,312",4.7,"324,904","310,929","13,975",4.3,"325,490","312,930","12,560",3.9,"56,141",88
45000,SC,South Carolina,,"1,993,562","1,918,583","74,979",3.8,"1,949,685","1,847,939","101,746",5.2,"1,949,135","1,835,823","113,312",5.8,"1,997,977","1,859,765","138,212",6.9,"2,033,310","1,894,141","139,169",6.8,"2,068,599","1,929,233","139,366",6.7,"2,109,097","1,973,337","135,760",6.4,"2,125,891","2,005,686","120,205",5.7,"2,142,232","1,996,409","145,823",6.8,"2,152,745","1,910,670","242,075",11.2,"2,155,668","1,915,045","240,623",11.2,"2,175,523","1,945,900","229,623",10.6,"2,186,878","1,985,618","201,260",9.2,"2,190,968","2,023,642","167,326",7.6,"2,222,345","2,078,592","143,753",6.5,"2,272,996","2,137,158","135,838",6,"2,296,800","2,181,587","115,213",5,"2,311,766","2,212,845","98,921",4.3,"2,339,939","2,259,057","80,882",3.5,"2,376,069","2,308,362","67,707",2.8,"52,449",100
45019,SC,Charleston,1,"154,636","149,448","5,188",3.4,"149,901","143,672","6,229",4.2,"153,406","146,447","6,959",4.5,"159,204","150,548","8,656",5.4,"164,605","155,700","8,905",5.4,"167,313","158,229","9,084",5.4,"169,758","161,234","8,524",5,"173,525","165,971","7,554",4.4,"174,276","165,025","9,251",5.3,"173,571","158,380","15,191",8.8,"178,847","163,111","15,736",8.8,"183,009","167,780","15,229",8.3,"186,506","173,166","13,340",7.2,"187,570","176,533","11,037",5.9,"192,269","182,328","9,941",5.2,"198,504","188,861","9,643",5,"202,083","193,793","8,290",4.1,"203,901","196,750","7,151",3.5,"207,291","201,465","5,826",2.8,"212,354","207,473","4,881",2.3,"62,958",120
46000,SD,South Dakota,,"408,658","398,618","10,040",2.5,"412,778","400,031","12,747",3.1,"417,517","404,239","13,278",3.2,"423,035","408,088","14,947",3.5,"427,664","411,762","15,902",3.7,"430,606","414,209","16,397",3.8,"435,007","421,483","13,524",3.1,"442,499","430,011","12,488",2.8,"446,618","432,925","13,693",3.1,"446,010","423,993","22,017",4.9,"441,339","419,355","21,984",5,"440,934","420,054","20,880",4.7,"442,442","423,501","18,941",4.3,"443,079","426,284","16,795",3.8,"446,715","431,382","15,333",3.4,"449,844","435,901","13,943",3,"452,794","439,302","13,492",3,"456,240","441,604","14,636",3.2,"459,565","445,472","14,093",3.1,"463,997","448,713","15,284",3.3,"57,041",100
46099,SD,Sioux Falls,1,"88,976","87,261","1,715",1.9,"89,737","87,520","2,217",2.5,"90,941","88,471","2,470",2.7,"91,822","88,953","2,869",3.1,"92,929","89,663","3,266",3.5,"93,785","90,545","3,240",3.5,"95,307","92,676","2,631",2.8,"99,419","96,929","2,490",2.5,"100,944","98,082","2,862",2.8,"100,524","95,455","5,069",5,"99,177","94,240","4,937",5,"99,359","94,899","4,460",4.5,"100,905","96,904","4,001",4,"102,441","99,051","3,390",3.3,"104,391","101,243","3,148",3,"106,213","103,346","2,867",3,"107,702","104,943","2,759",2.6,"109,321","106,305","3,016",2.8,"110,726","107,770","2,956",2.7,"113,094","109,853","3,241",2.9,"60,033",105.2
47000,TN,Tennessee,,"2,843,069","2,733,281","109,788",3.9,"2,861,343","2,730,988","130,355",4.6,"2,906,591","2,756,086","150,505",5.2,"2,912,187","2,748,140","164,047",5.6,"2,878,736","2,725,108","153,628",5.3,"2,904,794","2,743,383","161,411",5.6,"3,036,029","2,878,455","157,574",5.2,"3,063,669","2,920,352","143,317",4.7,"3,054,785","2,853,746","201,039",6.6,"3,052,678","2,733,113","319,565",10.5,"3,090,795","2,792,063","298,732",9.7,"3,125,307","2,844,662","280,645",9,"3,100,671","2,857,945","242,726",7.8,"3,067,431","2,828,479","238,952",7.8,"3,024,186","2,825,051","199,135",6.6,"3,057,301","2,885,145","172,156",6,"3,123,283","2,976,105","147,178",4.7,"3,185,241","3,065,279","119,962",3.8,"3,254,261","3,139,888","114,373",3.5,"3,344,849","3,231,501","113,348",3.4,"52,366",100
47037,TN,Nashville,1,"308,521","298,970","9,551",3.1,"307,002","296,183","10,819",3.5,"305,801","292,721","13,080",4.3,"303,542","289,575","13,967",4.6,"299,979","286,553","13,426",4.5,"301,917","288,260","13,657",4.5,"312,437","299,241","13,196",4.2,"325,361","312,929","12,432",3.8,"323,870","306,349","17,521",5.4,"323,043","294,328","28,715",8.9,"342,404","314,469","27,935",8.2,"350,092","323,712","26,380",7.5,"353,385","331,459","21,926",6.2,"354,139","333,157","20,982",5.9,"354,746","336,922","17,824",5,"362,895","346,987","15,908",4,"372,624","359,204","13,420",3.6,"383,649","372,829","10,820",2.8,"393,923","383,409","10,514",2.7,"409,810","399,502","10,308",2.5,"60,799",116.1
48000,TX,Texas,,"10,374,053","9,929,387","444,666",4.3,"10,532,732","10,011,046","521,686",5,"10,748,810","10,065,870","682,940",6.4,"10,914,664","10,185,312","729,352",6.7,"10,992,359","10,338,484","653,875",5.9,"11,124,240","10,523,257","600,983",5.4,"11,327,995","10,774,490","553,505",4.9,"11,431,631","10,941,413","490,218",4.3,"11,664,390","11,104,115","560,275",4.8,"11,910,799","11,008,903","901,896",7.6,"12,241,970","11,244,632","997,338",8.1,"12,504,498","11,535,095","969,403",7.8,"12,670,455","11,818,675","851,780",6.7,"12,857,595","12,052,646","804,949",6.3,"13,039,452","12,374,172","665,280",5.1,"13,087,237","12,505,617","581,620",4,"13,335,578","12,720,226","615,352",4.6,"13,574,795","12,989,682","585,113",4.3,"13,816,690","13,285,118","531,572",3.8,"14,045,312","13,551,791","493,521",3.5,"60,632",100
48201,TX,Houston,1,"1,725,910","1,652,532","73,378",4.3,"1,751,413","1,669,710","81,703",4.7,"1,790,572","1,680,755","109,817",6.1,"1,806,134","1,683,596","122,538",6.8,"1,805,276","1,693,835","111,441",6.2,"1,823,699","1,719,989","103,710",5.7,"1,874,936","1,780,465","94,471",5,"1,898,209","1,818,000","80,209",4.2,"1,933,140","1,842,516","90,624",4.7,"1,971,402","1,822,227","149,175",7.6,"2,064,026","1,892,849","171,177",8.3,"2,110,507","1,944,945","165,562",7.8,"2,156,942","2,013,828","143,114",6.6,"2,199,353","2,066,248","133,105",6.1,"2,232,655","2,121,528","111,127",5,"2,234,702","2,131,167","103,535",5,"2,249,341","2,129,674","119,667",5.3,"2,265,691","2,150,927","114,764",5.1,"2,286,360","2,186,339","100,021",4.4,"2,317,346","2,228,703","88,643",3.8,"60,241",99.4
49000,UT,Utah,,"1,142,044","1,103,807","38,237",3.3,"1,164,077","1,112,607","51,470",4.4,"1,184,751","1,116,067","68,684",5.8,"1,200,236","1,132,554","67,682",5.6,"1,231,160","1,169,795","61,365",5,"1,272,445","1,220,617","51,828",4.1,"1,318,450","1,279,328","39,122",3,"1,359,129","1,324,060","35,069",2.6,"1,371,201","1,322,089","49,112",3.6,"1,365,850","1,266,009","99,841",7.3,"1,356,097","1,249,814","106,283",7.8,"1,350,444","1,259,337","91,107",6.7,"1,372,971","1,298,807","74,164",5.4,"1,405,630","1,341,192","64,438",4.6,"1,427,065","1,372,636","54,429",3.8,"1,460,136","1,407,186","52,950",4,"1,505,449","1,453,543","51,906",3.4,"1,546,987","1,496,465","50,522",3.3,"1,569,969","1,522,290","47,679",3,"1,607,688","1,565,782","41,906",2.6,"71,381",100
49035,UT,Salt Lake City,1,"486,372","471,013","15,359",3.2,"492,535","470,934","21,601",4.4,"495,252","465,786","29,466",5.9,"496,311","467,810","28,501",5.7,"500,677","475,564","25,113",5,"517,454","496,679","20,775",4,"534,687","519,133","15,554",2.9,"550,691","536,924","13,767",2.5,"557,692","538,772","18,920",3.4,"553,693","514,653","39,040",7.1,"548,378","506,309","42,069",7.7,"546,296","510,115","36,181",6.6,"556,484","527,250","29,234",5.3,"569,638","544,635","25,003",4.4,"575,348","554,142","21,206",3.7,"585,134","565,279","19,855",3,"601,570","582,448","19,122",3.2,"614,498","595,348","19,150",3.1,"619,396","601,161","18,235",2.9,"634,741","618,767","15,974",2.5,"73,619",103.1
50000,VT,Vermont,,"331,404","322,129","9,275",2.8,"337,065","325,889","11,176",3.3,"343,139","329,427","13,712",4,"345,971","331,122","14,849",4.3,"347,673","334,899","12,774",3.7,"350,766","338,553","12,213",3.5,"357,007","343,865","13,142",3.7,"353,739","339,547","14,192",4,"354,899","338,273","16,626",4.7,"359,836","336,104","23,732",6.6,"359,402","337,488","21,914",6.1,"358,108","338,463","19,645",5.5,"354,857","337,284","17,573",5,"350,447","334,964","15,483",4.4,"347,058","333,383","13,675",3.9,"344,697","332,432","12,265",4,"344,748","333,628","11,120",3.2,"345,734","335,571","10,163",2.9,"345,300","336,496","8,804",2.5,"342,226","334,070","8,156",2.4,"60,917",100
50007,VT,Burlington,1,"84,114","82,190","1,924",2.3,"85,086","82,694","2,392",2.8,"86,110","83,091","3,019",3.5,"86,525","83,243","3,282",3.8,"87,043","84,276","2,767",3.2,"87,236","84,544","2,692",3.1,"88,480","85,605","2,875",3.2,"88,330","85,355","2,975",3.4,"88,974","85,422","3,552",4,"90,375","85,311","5,064",5.6,"94,582","90,041","4,541",4.8,"95,504","91,485","4,019",4.2,"95,835","92,217","3,618",3.8,"95,084","91,824","3,260",3.4,"95,520","92,640","2,880",3,"94,862","92,292","2,570",3,"95,230","92,854","2,376",2.5,"96,775","94,635","2,140",2.2,"97,097","95,189","1,908",2,"96,435","94,707","1,728",1.8,"74,240",121.9
51000,VA,Virginia,,"3,605,811","3,522,865","82,946",2.3,"3,670,137","3,551,375","118,762",3.2,"3,726,468","3,569,570","156,898",4.2,"3,753,703","3,599,264","154,439",4.1,"3,795,246","3,650,269","144,977",3.8,"3,897,042","3,757,592","139,450",3.6,"3,978,641","3,855,633","123,008",3.1,"4,036,835","3,914,087","122,748",3,"4,133,443","3,970,428","163,015",3.9,"4,118,171","3,842,516","275,655",6.7,"4,157,658","3,860,386","297,272",7.1,"4,211,802","3,934,326","277,476",6.6,"4,223,844","3,967,987","255,857",6.1,"4,237,277","3,995,182","242,095",5.7,"4,241,179","4,019,470","221,709",5.2,"4,216,679","4,028,801","187,878",5,"4,243,060","4,069,395","173,665",4.1,"4,311,176","4,151,746","159,430",3.7,"4,341,153","4,209,651","131,502",3,"4,412,246","4,289,132","123,114",2.8,"72,600",100
51810,VA,Virginia Beach,1,"205,898","201,294","4,604",2.2,"210,475","204,339","6,136",2.9,"213,845","206,207","7,638",3.6,"215,308","207,436","7,872",3.7,"216,704","209,047","7,657",3.5,"220,002","212,602","7,400",3.4,"221,582","215,051","6,531",2.9,"222,978","216,854","6,124",2.7,"225,849","217,654","8,195",3.6,"219,738","206,585","13,153",6,"226,894","212,145","14,749",6.5,"229,211","215,118","14,093",6.1,"229,035","215,892","13,143",5.7,"231,008","218,514","12,494",5.4,"231,599","220,150","11,449",4.9,"228,751","218,937","9,814",4,"228,905","219,741","9,164",4,"231,550","223,354","8,196",3.5,"232,337","225,561","6,776",2.9,"234,597","228,266","6,331",2.7,"76,520",105.4
53000,WA,Washington,,"3,059,339","2,901,492","157,847",5.2,"3,039,367","2,847,875","191,492",6.3,"3,082,839","2,854,762","228,077",7.4,"3,127,404","2,895,863","231,541",7.4,"3,197,095","2,996,795","200,300",6.3,"3,263,703","3,082,399","181,304",5.6,"3,323,938","3,156,626","167,312",5,"3,403,163","3,243,308","159,855",4.7,"3,478,577","3,291,309","187,268",5.4,"3,535,200","3,211,649","323,551",9.2,"3,511,326","3,160,544","350,782",10,"3,461,428","3,140,190","321,238",9.3,"3,471,282","3,189,271","282,011",8.1,"3,463,869","3,219,842","244,027",7,"3,491,487","3,277,540","213,947",6.1,"3,550,573","3,350,352","200,221",6,"3,644,319","3,452,854","191,465",5.3,"3,726,120","3,551,136","174,984",4.7,"3,807,013","3,637,581","169,432",4.5,"3,914,154","3,747,713","166,441",4.3,"74,023",100
53033,WA,Seattle,1,"988,130","951,669","36,461",3.7,"992,822","945,223","47,599",4.8,"983,366","922,965","60,401",6.1,"987,258","926,821","60,437",6.1,"993,258","943,793","49,465",5,"1,011,681","967,430","44,251",4.4,"1,043,636","1,004,810","38,826",3.7,"1,067,240","1,033,216","34,024",3.2,"1,090,567","1,048,196","42,371",3.9,"1,113,894","1,024,328","89,566",8,"1,105,830","1,006,061","99,769",9,"1,108,889","1,021,048","87,841",7.9,"1,122,834","1,051,837","70,997",6.3,"1,137,369","1,079,695","57,674",5.1,"1,161,650","1,107,340","54,310",4.7,"1,184,240","1,134,979","49,261",4,"1,213,744","1,167,122","46,622",3.8,"1,238,090","1,194,955","43,135",3.5,"1,264,754","1,224,648","40,106",3.2,"1,290,480","1,254,638","35,842",2.8,"94,822",128.1
54000,WN,West Virginia,,"809,063","764,711","44,352",5.5,"809,128","768,661","40,467",5,"799,998","752,548","47,450",5.9,"786,552","738,990","47,562",6,"783,658","741,890","41,768",5.3,"790,982","750,561","40,421",5.1,"806,168","766,399","39,769",4.9,"811,160","773,990","37,170",4.6,"812,905","777,560","35,345",4.3,"814,027","751,165","62,862",7.7,"811,125","740,910","70,215",8.7,"807,021","741,972","65,049",8.1,"807,917","747,384","60,533",7.5,"798,530","744,410","54,120",6.8,"788,821","736,472","52,349",6.6,"781,427","728,778","52,649",7,"782,299","734,547","47,752",6.1,"778,975","738,468","40,507",5.2,"785,196","744,326","40,870",5.2,"796,966","757,852","39,114",4.9,"44,038",100
54039,WV,Charleston,1,"97,313","92,508","4,805",4.9,"96,760","92,351","4,409",4.6,"94,366","89,369","4,997",5.3,"91,509","86,590","4,919",5.4,"90,926","86,585","4,341",4.8,"90,679","86,270","4,409",4.9,"91,497","87,484","4,013",4.4,"92,044","88,360","3,684",4,"92,747","89,483","3,264",3.5,"92,520","86,739","5,781",6.2,"92,603","85,765","6,838",7.4,"91,673","85,161","6,512",7.1,"91,341","85,308","6,033",6.6,"89,397","84,118","5,279",5.9,"88,729","83,502","5,227",5.9,"86,120","80,958","5,162",6,"85,268","80,606","4,662",5.5,"82,962","78,764","4,198",5.1,"82,348","78,131","4,217",5.1,"82,440","78,647","3,793",4.6,"41,926",95.2
55000,WI,Wisconsin,,"2,973,221","2,868,382","104,839",3.5,"3,011,703","2,875,585","136,118",4.5,"3,024,319","2,861,621","162,698",5.4,"3,053,642","2,879,779","173,863",5.7,"3,034,581","2,882,064","152,517",5,"3,021,086","2,878,086","143,000",4.7,"3,058,935","2,914,150","144,785",4.7,"3,087,828","2,936,452","151,376",4.9,"3,091,796","2,940,438","151,358",4.9,"3,100,348","2,834,335","266,013",8.6,"3,081,512","2,814,393","267,119",8.7,"3,079,759","2,840,996","238,763",7.8,"3,073,981","2,857,418","216,563",7,"3,079,305","2,871,997","207,308",6.7,"3,081,543","2,914,992","166,551",5.4,"3,091,723","2,951,132","140,591",5,"3,123,595","2,998,625","124,970",4,"3,133,405","3,030,655","102,750",3.3,"3,118,301","3,024,747","93,554",3,"3,105,142","3,001,215","103,927",3.3,"60,779",100
